_id,accountId,projectId,date,userId,roleId,teamId,isDeleted,userType,customerId,allocatedMins,softAllocatedMins,hardAllocatedMins,estimatedRevenue,actualRevenue,estimatedMargin,actualMargin,estimatedCost,actualCost,actualProfit,estimatedProfit,estimatedRevenueInProjectCurrency,actualRevenueInProjectCurrency,estimatedMarginInProjectCurrency,actualMarginInProjectCurrency,estimatedCostInProjectCurrency,actualCostInProjectCurrency,actualProfitInProjectCurrency,estimatedProfitInProjectCurrency,billableMinutes,nonBillableMinutes,costRate,billRate,trackedMinutes,utilisation,billableUtilisation,plannedUtilisation,capacityInMinutes,financeType,version,primaryTableMaxVersion._id,primaryTableMaxVersion.version
2024-06-26_325224_USER_ID_75461,16946,325224,06-26-2024,0,75461,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803941439517,2024-06-26_325224_USER_ID_75461,1735232803941439517
2024-06-26_325224_USER_ID_75462,16946,325224,06-26-2024,0,75462,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803941668656,2024-06-26_325224_USER_ID_75462,1735232803941668656
2024-06-26_325224_USER_ID_82411,16946,325224,06-26-2024,0,82411,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803941899891,2024-06-26_325224_USER_ID_82411,1735232803941899891
2024-06-26_325224_USER_ID_82412,16946,325224,06-26-2024,0,82412,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803942129141,2024-06-26_325224_USER_ID_82412,1735232803942129141
2024-06-26_327243_275181_75461,16946,327243,06-26-2024,275181,75461,0,0,,195659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,0.0,0,0.0,0.0,0.0,480,TIME_AND_MATERIAL,1733637545608104857,2024-06-26_327243_275181_75461,1733637545608104857
2024-06-27_325224_284088_75458,16946,325224,06-27-2024,284088,75458,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803942356450,2024-06-27_325224_284088_75458,1735232803942356450
2024-06-27_325224_USER_ID_75458,16946,325224,06-27-2024,0,75458,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803944934012,2024-06-27_325224_USER_ID_75458,1735232803944934012
2024-06-27_325224_USER_ID_75460,16946,325224,06-27-2024,0,75460,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803945162789,2024-06-27_325224_USER_ID_75460,1735232803945162789
2024-06-27_325224_USER_ID_75461,16946,325224,06-27-2024,0,75461,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803945392280,2024-06-27_325224_USER_ID_75461,1735232803945392280
2024-06-27_325224_USER_ID_75462,16946,325224,06-27-2024,0,75462,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803945650939,2024-06-27_325224_USER_ID_75462,1735232803945650939
2024-06-27_325224_USER_ID_82411,16946,325224,06-27-2024,0,82411,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803945892530,2024-06-27_325224_USER_ID_82411,1735232803945892530
2024-06-27_325224_USER_ID_82412,16946,325224,06-27-2024,0,82412,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803946129696,2024-06-27_325224_USER_ID_82412,1735232803946129696
2024-06-28_325224_284088_75458,16946,325224,06-28-2024,284088,75458,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803946368691,2024-06-28_325224_284088_75458,1735232803946368691
2024-06-28_325224_USER_ID_75458,16946,325224,06-28-2024,0,75458,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803946602430,2024-06-28_325224_USER_ID_75458,1735232803946602430
2024-06-28_325224_USER_ID_75460,16946,325224,06-28-2024,0,75460,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803946851369,2024-06-28_325224_USER_ID_75460,1735232803946851369
2024-06-28_325224_USER_ID_75461,16946,325224,06-28-2024,0,75461,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803947090850,2024-06-28_325224_USER_ID_75461,1735232803947090850
2024-06-28_325224_USER_ID_75462,16946,325224,06-28-2024,0,75462,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803949658994,2024-06-28_325224_USER_ID_75462,1735232803949658994
2024-06-28_325224_USER_ID_82411,16946,325224,06-28-2024,0,82411,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803949887745,2024-06-28_325224_USER_ID_82411,1735232803949887745
2024-06-28_325224_USER_ID_82412,16946,325224,06-28-2024,0,82412,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803950121415,2024-06-28_325224_USER_ID_82412,1735232803950121415
2024-06-28_327243_275181_75461,16946,327243,06-28-2024,275181,75461,0,0,,195659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,0.0,0,0.0,0.0,0.0,480,TIME_AND_MATERIAL,1733597916403712695,2024-06-28_327243_275181_75461,1733597916403712695
2024-06-28_329412_275181_75461,16946,329412,06-28-2024,275181,75461,0,0,,194508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,0.0,0,0.0,0.0,0.0,480,NON_BILLABLE,1733637350041132039,2024-06-28_329412_275181_75461,1733637350041132039
2024-07-01_238535_297489_82412,16946,238535,07-01-2024,297489,82412,0,0,,148871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,0.0,0,0.0,0.0,0.0,480,,1733597892700908683,2024-07-01_238535_297489_82412,1733597892700908683
2024-07-01_325224_284088_75458,16946,325224,07-01-2024,284088,75458,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803950350742,2024-07-01_325224_284088_75458,1735232803950350742
2024-07-01_325224_USER_ID_75458,16946,325224,07-01-2024,0,75458,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803950582059,2024-07-01_325224_USER_ID_75458,1735232803950582059
2024-07-01_325224_USER_ID_75460,16946,325224,07-01-2024,0,75460,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803950823677,2024-07-01_325224_USER_ID_75460,1735232803950823677
