"projectMembershipId","projectId","permissionSetId","userId","accountId","active","isDeleted","sourceType","version","isDeafult","_id","updatedAt","joinedAt","primaryTableMaxVersion._id","primaryTableMaxVersion.version"
"1591915","336428","201927","297497","16946","1","0","DEFAULT","1743177056273955652","true","1591915","","1724889600000","1591915","1743177056273955652"
"1586877","336428","201927","297499","16946","1","0","DEFAULT","1743176977628095164","true","1586877","","1724716800000","1586877","1743176977628095164"
"1409664","336429","201926","279501","16946","1","0","DEFAULT","1742554576632362156","true","1409664","","1719878400000","1409664","1742554576632362156"
"1591404","336429","201927","297490","16946","1","0","DEFAULT","1743177681968483693","true","1591404","","1724803200000","1591404","1743177681968483693"
"1590961","336429","201927","297491","16946","1","0","DEFAULT","1742554602382805317","true","1590961","","1724803200000","1590961","1742554602382805317"
"1591721","336429","201927","297493","16946","1","0","DEFAULT","1743178030533886674","true","1591721","","1724803200000","1591721","1743178030533886674"
"1590859","336429","201927","297499","16946","1","0","DEFAULT","1743176977629565127","true","1590859","","1724803200000","1590859","1743176977629565127"
"1590924","336429","201927","305124","16946","1","0","DEFAULT","1742554602382527725","true","1590924","","1724803200000","1590924","1742554602382527725"
"1591550","336429","201927","305128","16946","1","0","DEFAULT","1742554602384093308","true","1591550","","1724803200000","1591550","1742554602384093308"
"1409665","336430","201926","279501","16946","1","0","DEFAULT","1742554576633096424","true","1409665","","1719878400000","1409665","1742554576633096424"
"1409668","336432","201926","279501","16946","1","0","DEFAULT","1742554576630418495","true","1409668","","1719878400000","1409668","1742554576630418495"
"1727242","336433","201926","275181","16946","1","0","DEFAULT","1742554566370623816","true","1727242","","1728518400000","1727242","1742554566370623816"
"1592014","336433","221206","297488","16946","1","0","DEFAULT","1743176941192742550","true","1592014","","1724889600000","1592014","1743176941192742550"
"1591682","336433","201927","297498","16946","1","0","DEFAULT","1743176918918335334","true","1591682","","1724803200000","1591682","1743176918918335334"
"1409676","336434","201926","279501","16946","1","0","DEFAULT","1742554576634376070","true","1409676","","1719878400000","1409676","1742554576634376070"
"1733303","336435","201926","235382","16946","1","0","DEFAULT","1742554566371870949","true","1733303","","1728604800000","1733303","1742554566371870949"
"1591596","336435","201927","297492","16946","1","0","DEFAULT","1742554602384590261","true","1591596","","1724803200000","1591596","1742554602384590261"
"1409680","336437","201926","279501","16946","1","0","DEFAULT","1742554576629940012","true","1409680","","1719878400000","1409680","1742554576629940012"
"1409681","336438","201926","275181","16946","1","0","DEFAULT","1742554576631134252","true","1409681","","1719878400000","1409681","1742554576631134252"
"1592011","336438","221206","297488","16946","1","0","DEFAULT","1743176941192997877","true","1592011","","1724889600000","1592011","1743176941192997877"
"1591722","336438","201927","297493","16946","1","0","DEFAULT","1743178030538855799","true","1591722","","1724803200000","1591722","1743178030538855799"
"1591687","336438","201927","297494","16946","1","0","DEFAULT","1742554602387076576","true","1591687","","1724803200000","1591687","1742554602387076576"
"1409682","336439","201926","275181","16946","1","0","DEFAULT","1742554576635104527","true","1409682","","1719878400000","1409682","1742554576635104527"
"1592013","336439","221206","297488","16946","1","0","DEFAULT","1743176941193244127","true","1592013","","1724889600000","1592013","1743176941193244127"
"1591447","336439","201927","297490","16946","1","0","DEFAULT","1743177681968726792","true","1591447","","1724803200000","1591447","1743177681968726792"
"1592028","336439","201927","297496","16946","1","0","DEFAULT","1742554586949219699","true","1592028","","1724889600000","1592028","1742554586949219699"
"1591671","336439","201927","297498","16946","1","0","DEFAULT","1743176918921132824","true","1591671","","1724803200000","1591671","1743176918921132824"
"1591517","336439","329682","305125","16946","1","0","DEFAULT","1742554602383840117","true","1591517","","1724803200000","1591517","1742554602383840117"
"1591688","336439","329682","305132","16946","1","0","DEFAULT","1743784126595045177","true","1591688","","1724803200000","1591688","1743784126595045177"
"1591720","336439","201927","305134","16946","1","0","DEFAULT","1742554602387587528","true","1591720","","1724803200000","1591720","1742554602387587528"
"1409683","336440","201926","275181","16946","1","0","DEFAULT","1742554576635355184","true","1409683","","1719878400000","1409683","1742554576635355184"
"1591935","336440","204282","297489","16946","1","0","DEFAULT","1742554586943404253","true","1591935","","1724889600000","1591935","1742554586943404253"
"1591621","336440","201927","297492","16946","1","0","DEFAULT","1742554602385840167","true","1591621","","1724803200000","1591621","1742554602385840167"
"1591772","336440","201927","297496","16946","1","0","DEFAULT","1742554602388626817","true","1591772","","1724803200000","1591772","1742554602388626817"
"1409685","336442","201926","275181","16946","1","0","DEFAULT","1742554576635845238","true","1409685","","1719878400000","1409685","1742554576635845238"
"1591943","336442","204282","297489","16946","1","0","DEFAULT","1742554586943922655","true","1591943","","1724889600000","1591943","1742554586943922655"
"1591633","336442","201927","297492","16946","1","0","DEFAULT","1742554602386088295","true","1591633","","1724803200000","1591633","1742554602386088295"
"1409687","336444","201926","275181","16946","1","0","DEFAULT","1742554576636328375","true","1409687","","1719878400000","1409687","1742554576636328375"
"1590527","336444","201927","297496","16946","1","0","DEFAULT","1742554597233384960","true","1590527","","1724803200000","1590527","1742554597233384960"
"1591807","336444","201927","297500","16946","1","0","DEFAULT","1743177009172702999","true","1591807","","1724803200000","1591807","1743177009172702999"
"1590530","336444","329682","297501","16946","1","0","DEFAULT","1743784131702783445","true","1590530","","1724803200000","1590530","1743784131702783445"
"1409688","336445","201926","275181","16946","1","0","DEFAULT","1742554576636810649","true","1409688","","1719878400000","1409688","1742554576636810649"
"1409689","336446","201926","275181","16946","1","0","DEFAULT","1742554576632113827","true","1409689","","1719878400000","1409689","1742554576632113827"
"1592012","336446","221206","297488","16946","1","0","DEFAULT","1743176941196784149","true","1592012","","1724889600000","1592012","1743176941196784149"
"1409690","336447","201926","235382","16946","1","0","DEFAULT","1742554576632612792","true","1409690","","1719878400000","1409690","1742554576632612792"
"1409692","336448","201926","235382","16946","1","0","DEFAULT","1742554576633361056","true","1409692","","1719878400000","1409692","1742554576633361056"
"1641532","336448","341707","305136","16946","1","0","DEFAULT","1742554586944959424","true","1641532","","1726099200000","1641532","1742554586944959424"
"1605144","336448","201927","323754","16946","1","0","DEFAULT","1742554592058697435","true","1605144","","1724976000000","1605144","1742554592058697435"
"1605145","336448","201927","323755","16946","1","0","DEFAULT","1742554592059021502","true","1605145","","1724976000000","1605145","1742554592059021502"
"1605146","336448","201927","323756","16946","1","0","DEFAULT","1742554592058179829","true","1605146","","1724976000000","1605146","1742554592058179829"
"1605147","336448","201927","323758","16946","1","0","DEFAULT","1742554592059279229","true","1605147","","1724976000000","1605147","1742554592059279229"
"1605148","336448","201927","323759","16946","1","0","DEFAULT","1742554592059538009","true","1605148","","1724976000000","1605148","1742554592059538009"
"1605152","336448","201927","323760","16946","1","0","DEFAULT","1742554592059794246","true","1605152","","1724976000000","1605152","1742554592059794246"
"1605153","336448","201927","323761","16946","1","0","DEFAULT","1742554592058444585","true","1605153","","1724976000000","1605153","1742554592058444585"
"1605154","336448","201927","323762","16946","1","0","DEFAULT","1742554592060043913","true","1605154","","1724976000000","1605154","1742554592060043913"
"1605158","336448","201927","323763","16946","1","0","DEFAULT","1742554592061024405","true","1605158","","1724976000000","1605158","1742554592061024405"
"1605159","336448","201927","323764","16946","1","0","DEFAULT","1742554592060284314","true","1605159","","1724976000000","1605159","1742554592060284314"
"1605160","336448","201927","323765","16946","1","0","DEFAULT","1742554592061271927","true","1605160","","1724976000000","1605160","1742554592061271927"
"1605161","336448","201927","323766","16946","1","0","DEFAULT","1742554592060529817","true","1605161","","1724976000000","1605161","1742554592060529817"
"1605162","336448","201927","323767","16946","1","0","DEFAULT","1742554592061517522","true","1605162","","1724976000000","1605162","1742554592061517522"
"1605166","336448","201927","323768","16946","1","0","DEFAULT","1742554592060777673","true","1605166","","1724976000000","1605166","1742554592060777673"
"1978361","336448","341707","376207","16946","1","0","DEFAULT","1742554571503159386","true","1978361","","1734912000000","1978361","1742554571503159386"
"1978360","336448","341707","377398","16946","1","0","DEFAULT","1742554571502906702","true","1978360","","1734912000000","1978360","1742554571502906702"
"1978366","336448","341707","377708","16946","1","0","DEFAULT","1742554571503404936","true","1978366","","1734912000000","1978366","1742554571503404936"
"1978367","336448","341707","377709","16946","1","0","DEFAULT","1742554571503653623","true","1978367","","1734912000000","1978367","1742554571503653623"
"1978370","336448","341707","377710","16946","1","0","DEFAULT","1742554571503909876","true","1978370","","1734912000000","1978370","1742554571503909876"
"1978371","336448","341707","377711","16946","1","0","DEFAULT","1742554571504156637","true","1978371","","1734912000000","1978371","1742554571504156637"
"1978372","336448","341707","377712","16946","1","0","DEFAULT","1742554571504404784","true","1978372","","1734912000000","1978372","1742554571504404784"
"1978377","336448","341707","377713","16946","1","0","DEFAULT","1742554571504650592","true","1978377","","1734912000000","1978377","1742554571504650592"
"1978396","336448","341707","377714","16946","1","0","DEFAULT","1742554571504896815","true","1978396","","1734912000000","1978396","1742554571504896815"
"1978398","336448","341707","377715","16946","1","0","DEFAULT","1742554571505142944","true","1978398","","1734912000000","1978398","1742554571505142944"
"1978400","336448","341707","377716","16946","1","0","DEFAULT","1742554571505386264","true","1978400","","1734912000000","1978400","1742554571505386264"
"1978402","336448","341707","377717","16946","1","0","DEFAULT","1742554571505627263","true","1978402","","1734912000000","1978402","1742554571505627263"
"1978405","336448","341707","377718","16946","1","0","DEFAULT","1742554571505875839","true","1978405","","1734912000000","1978405","1742554571505875839"
"1978406","336448","341707","377719","16946","1","0","DEFAULT","1742554571506120703","true","1978406","","1734912000000","1978406","1742554571506120703"
"1978407","336448","341707","377720","16946","1","0","DEFAULT","1742554571506366772","true","1978407","","1734912000000","1978407","1742554571506366772"
"1409694","336449","201926","235382","16946","1","0","DEFAULT","1742554576637052969","true","1409694","","1719878400000","1409694","1742554576637052969"
"1591673","336449","201927","297494","16946","1","0","DEFAULT","1742554602386592030","true","1591673","","1724803200000","1591673","1742554602386592030"
"1591911","336449","201927","297497","16946","1","0","DEFAULT","1743177056274202217","true","1591911","","1724889600000","1591911","1743177056274202217"
"1591600","336449","201927","297498","16946","1","0","DEFAULT","1743176918917071981","true","1591600","","1724803200000","1591600","1743176918917071981"
"1409695","336450","201926","235382","16946","1","0","DEFAULT","1742554576630656650","true","1409695","","1719878400000","1409695","1742554576630656650"
"1591501","336450","201927","297490","16946","1","0","DEFAULT","1743177681967747816","true","1591501","","1724803200000","1591501","1743177681967747816"
"1613529","336450","201927","297494","16946","1","0","DEFAULT","1742554592063304269","true","1613529","","1725321600000","1613529","1742554592063304269"
"1592047","336450","201927","297496","16946","1","0","DEFAULT","1742554586949467770","true","1592047","","1724889600000","1592047","1742554586949467770"
"1591912","336450","201927","297497","16946","1","0","DEFAULT","1743177056274469332","true","1591912","","1724889600000","1591912","1743177056274469332"
"1591616","336450","201927","297498","16946","1","0","DEFAULT","1743176918921380547","true","1591616","","1724803200000","1591616","1743176918921380547"
"1409699","336452","201926","235382","16946","1","0","DEFAULT","1742554576630178312","true","1409699","","1719878400000","1409699","1742554576630178312"
"1409700","336453","201926","275181","16946","1","0","DEFAULT","1742554576632856268","true","1409700","","1719878400000","1409700","1742554576632856268"
"1409701","336454","201926","279501","16946","1","0","DEFAULT","1742554576633609983","true","1409701","","1719878400000","1409701","1742554576633609983"
"1588060","336454","221206","297488","16946","1","0","DEFAULT","1743176941197032563","true","1588060","","1724716800000","1588060","1743176941197032563"
"1588059","336454","201927","297490","16946","1","0","DEFAULT","1743177681968972033","true","1588059","","1724716800000","1588059","1743177681968972033"
"1588061","336454","201927","297496","16946","1","0","DEFAULT","1742554597233101057","true","1588061","","1724716800000","1588061","1742554597233101057"
"1409702","336455","201926","279501","16946","1","0","DEFAULT","1742554576629459098","true","1409702","","1719878400000","1409702","1742554576629459098"
"1455653","336455","201927","297491","16946","1","0","DEFAULT","1742554581804512340","true","1455653","","1721260800000","1455653","1742554581804512340"
"1409703","336456","201926","279501","16946","1","0","DEFAULT","1742554576637296821","true","1409703","","1719878400000","1409703","1742554576637296821"
"1444571","336457","201926","275181","16946","1","0","DEFAULT","1742592106020396408","true","1444571","","1721001600000","1444571","1742592106020396408"
"1591956","336457","204282","293237","16946","1","0","DEFAULT","1743176871351515295","true","1591956","","1724889600000","1591956","1743176871351515295"
"1592008","336457","221206","297488","16946","1","0","DEFAULT","1743176941197279745","true","1592008","","1724889600000","1592008","1743176941197279745"
"1591618","336457","201927","297492","16946","1","0","DEFAULT","1742592106020670044","true","1591618","","1724803200000","1591618","1742592106020670044"
"1409705","336458","201926","279501","16946","1","0","DEFAULT","1742554576631380413","true","1409705","","1719878400000","1409705","1742554576631380413"
"1733380","336459","201926","275181","16946","1","0","DEFAULT","1742554566375111813","true","1733380","","1728604800000","1733380","1742554566375111813"
"2017008","336459","204282","293237","16946","1","0","DEFAULT","1743176871350505720","true","2017008","","1736380800000","2017008","1743176871350505720"
"1409707","336460","201926","275181","16946","1","0","DEFAULT","1742554576638028404","true","1409707","","1719878400000","1409707","1742554576638028404"
"1485440","336463","204282","235382","16946","1","0","DEFAULT","1742554623222090872","true","1485440","","1722384000000","1485440","1742554623222090872"
"1485441","336463","204282","275181","16946","1","0","DEFAULT","1742554623224840824","true","1485441","","1722384000000","1485441","1742554623224840824"
"1409723","336463","201926","279501","16946","1","0","DEFAULT","1742554576638987230","true","1409723","","1719878400000","1409723","1742554576638987230"
"1485442","336463","204282","293237","16946","1","0","DEFAULT","1743176871351759682","true","1485442","","1722384000000","1485442","1743176871351759682"
"1485450","336463","221206","297488","16946","1","0","DEFAULT","1743176941197650841","true","1485450","","1722384000000","1485450","1743176941197650841"
"1485443","336463","204282","297489","16946","1","0","DEFAULT","1742554612799764131","true","1485443","","1722384000000","1485443","1742554612799764131"
"1485451","336463","201927","297490","16946","1","0","DEFAULT","1743177681969218256","true","1485451","","1722384000000","1485451","1743177681969218256"
"1485444","336463","201927","297491","16946","1","0","DEFAULT","1742554623219285216","true","1485444","","1722384000000","1485444","1742554623219285216"
"1485452","336463","201927","297492","16946","1","0","DEFAULT","1742554618113628891","true","1485452","","1722384000000","1485452","1742554618113628891"
"1485445","336463","201927","297493","16946","1","0","DEFAULT","1743178030529538835","true","1485445","","1722384000000","1485445","1743178030529538835"
"1485453","336463","201927","297494","16946","1","0","DEFAULT","1742554618113877356","true","1485453","","1722384000000","1485453","1742554618113877356"
"1485455","336463","201927","297496","16946","1","0","DEFAULT","1742554618114912412","true","1485455","","1722384000000","1485455","1742554618114912412"
"1485456","336463","201927","297497","16946","1","0","DEFAULT","1743177056274742818","true","1485456","","1722384000000","1485456","1743177056274742818"
"1485446","336463","201927","297498","16946","1","0","DEFAULT","1743176918921628740","true","1485446","","1722384000000","1485446","1743176918921628740"
"1485448","336463","201927","297499","16946","1","0","DEFAULT","1743176977632110752","true","1485448","","1722384000000","1485448","1743176977632110752"
"1485449","336463","201927","297500","16946","1","0","DEFAULT","1743177009174479517","true","1485449","","1722384000000","1485449","1743177009174479517"
"1485457","336464","204282","235382","16946","1","0","DEFAULT","1742554612797790280","true","1485457","","1722384000000","1485457","1742554612797790280"
"1470047","336464","204282","275181","16946","1","0","DEFAULT","1742554581806884114","true","1470047","","1721779200000","1470047","1742554581806884114"
"1409724","336464","201926","279501","16946","1","0","DEFAULT","1742554576631865188","true","1409724","","1719878400000","1409724","1742554576631865188"
"1485460","336464","204282","293237","16946","1","0","DEFAULT","1743176871352010782","true","1485460","","1722384000000","1485460","1743176871352010782"
"1485472","336464","221206","297488","16946","1","0","DEFAULT","1743176941197931940","true","1485472","","1722384000000","1485472","1743176941197931940"
"1485461","336464","204282","297489","16946","1","0","DEFAULT","1742554618114136867","true","1485461","","1722384000000","1485461","1742554618114136867"
"1485473","336464","201927","297490","16946","1","0","DEFAULT","1743177681969464463","true","1485473","","1722384000000","1485473","1743177681969464463"
"1485464","336464","201927","297491","16946","1","0","DEFAULT","1742554623219536922","true","1485464","","1722384000000","1485464","1742554623219536922"
"1485474","336464","201927","297492","16946","1","0","DEFAULT","1742554623218734283","true","1485474","","1722384000000","1485474","1742554623218734283"
